artistLabel,genreLabel,length
Andrew Woolfolk,"['electronic dance music', 'disco', 'pop music', 'soul', 'rhythm and blues', 'gospel music']",5137.0
Andrew Wyatt,['alternative rock'],39473.0
Andru Branch,['reggae'],8118.0
Andrzej Smolik,['rock music'],6135.0
André Brasseur,"['jazz', 'blues']",3094.0
André Cymone,"['rock music', 'funk', 'soul']",11644.0
André Duchesne,['experimental music'],4935.0
André Hazes,['Levenslied'],14970.0
André Olbrich,['power metal'],4638.0
André Pinguim Ruas,['skate punk'],0.0
Andrés Bucci,['electronica'],10873.0
Andrés Cepeda,"['pop rock', 'Latin pop']",5776.0
Andrés Suárez,"['jazz', 'ballad']",7989.0
Andrés Vega Delfín,['son jarocho'],6845.0
"Andy ""Stoker"" Growcott",['new wave'],2756.0
Andy Allo,['soul'],14090.0
Andy Bell,['pop music'],847.0
Andy Bown,['rock music'],7024.0
Andy Burrows,['rock music'],12624.0
Andy Chapin,['hard rock'],2541.0
Andy Clockwise,['alternative dance'],11680.0
Andy Creeggan,['alternative rock'],5227.0
Andy Dixon,['punk rock'],18735.0
Andy Dunlop,"['rock music', 'alternative rock']",3592.0
Andy Egert,['blues'],7794.0
Andy Farag,['progressive rock'],242.0
Andy Fraser,['hard rock'],14372.0
Andy Gerold,['alternative rock'],7903.0
Andy Gill,['post-punk'],12061.0
Andy Granelli,['punk rock'],3114.0
Andy Griffith,"['traditional pop', 'country music', 'Southern gospel', 'religious music', 'spoken word', 'vocal music', 'traditional country music']",61033.0
Andy Hamilton,['jazz'],9242.0
Andy Hargreaves,['rock music'],31.0
Andy Hess,"['jazz fusion', 'southern rock']",2543.0
Andy Hurley,['punk rock'],17528.0
Andy Kerr,['punk rock'],55.0
Andy Kuntz,['progressive metal'],3929.0
Andy LaRocque,['heavy metal'],11719.0
Andy Laster,['jazz'],1943.0
Andy Lewis,['rock music'],785.0
Andy Malecek,['hard rock'],4527.0
Andy McCluskey,['new wave'],32439.0
Andy McCoy,['hard rock'],21524.0
Andy McKee,['jazz'],16192.0
Andy Middleton,['jazz'],6997.0
Andy Montañez,['salsa'],8661.0
Andy Newmark,['rock music'],14022.0
Andy Palacio,['punta'],10350.0
Andy Partridge,['new wave'],49243.0
Andy Patalan,['alternative rock'],9546.0
Andy Ross,['indie rock'],4890.0
Andy Rourke,['rock music'],32948.0
Andy Selway,['industrial rock'],4162.0
Andy Shernoff,['rock and roll'],17134.0
Andy Sneap,['thrash metal'],54412.0
Andy Snitzer,"['world music', 'traditional folk music']",4582.0
Andy Stamets,['punk rock'],4326.0
Andy Starr,['rock music'],1714.0
Andy Stott,['techno'],16714.0
Andy Vine,['folk rock'],3163.0
Andy Warren,['blue-eyed soul'],500.0
Andy West,['rock music'],4796.0
Andy White,['rock and roll'],816.0
Andy Williams,['indie rock'],49294.0
Andy Winter,['progressive metal'],267.0
Andy Yorke,['acoustic music'],6154.0
Ane Brun,['folk music'],14325.0
Anelia,"['Bulgarian folk music', 'chalga', 'pop music']",21748.0
Aner Shapira,['electronic music'],384.0
Anette Askvik,['pop music'],4810.0
Angel Corpus Christi,['indie rock'],4999.0
Angel Vivaldi,"['instrumental rock', 'progressive metal', 'neo-classical metal', 'hard rock']",11608.0
Angela Gheorghiu,['opera'],56078.0
Angelica Rylin,['symphonic metal'],7407.0
Angelo Badalamenti,"['jazz', 'ambient music']",26754.0
Angelo Earl,['rhythm and blues'],6093.0
Angger Dimas,['electro house'],18548.0
Angie Martinez,['hip-hop'],32147.0
Angie Reed,['electro'],2416.0
Angus MacLise,['avant-garde music'],16856.0
Angus Tarnawsky,['experimental music'],7097.0
Ani Kyd,"['heavy metal', 'punk rock', 'blues']",7344.0
Ani Zonneveld,['spirituals'],6097.0
Ania,['pop music'],642.0
Anis Don Demina,['pop music'],22188.0
Anita Lane,"['alternative rock', 'post-punk']",32109.0
Anita Skorgan,"['ballad', 'schlager music']",6902.0
Anja Garbarek,['trip hop'],5025.0
Anja Orthodox,['heavy metal'],5179.0
Anja Silja,['opera'],12712.0
Ann Curless,"['house music', 'adult contemporary music', 'dance music', 'freestyle music', 'Hi-NRG', 'dance-pop']",4326.0
Ann Morfee,['classical music'],3214.0
Ann O'Aro,['maloya'],0.0
Ann Rabson,['blues'],4612.0
Ann Saunderson,['dance music'],4186.0
Ann Savoy,['Cajun music'],9906.0
Ann Sophie,"['pop music', 'contemporary R&B']",8729.0
Anna Burch,['rock music'],6546.0
Anna Caterina Antonacci,"['bel canto', 'opera', 'Baroque music']",7869.0
Anna King,['soul'],473.0
Anna LaCazio,['pop music'],3376.0
Anna Larsson,['opera'],259.0
Anna Mae Winburn,['jazz'],14695.0
Anna Meredith,['classical music'],12758.0
Anna Semenovich,"['pop music', 'dance music']",9006.0
Anna Stadling,['pop music'],2277.0
Anna-Lisa Frykman,"[""children's music""]",1980.0
Anna-Lynne Williams,['indie rock'],44.0
Annabel Alpers,['synth-pop'],0.0
